,Fiscal.Year,naics,totalconaccpt,totalconden,totalcontinue,caccptperc,,cdenperc,
275,2019,99,1636,130,1766,92.6387316,92.6387316,7.361268403,7.361268403
226,2018,11,82,28,110,74.54545455,20.43887147,25.45454545,20.43887147
225,2017,99,477,54,531,89.83050847,15.28505393,10.16949153,15.28505393
266,2019,54,106044,21184,127228,83.34957714,13.79087703,16.65042286,13.79087703
241,2018,54,145782,28788,174570,83.50919402,13.4086142,16.49080598,13.4086142
174,2015,92,301,5,306,98.36601307,10.82502947,1.633986928,10.82502947
265,2019,53,562,35,597,94.13735343,10.7877763,5.862646566,10.7877763
26,2010,11,130,17,147,88.43537415,10.10477184,11.56462585,10.10477184
249,2018,92,353,17,370,95.40540541,9.779439408,4.594594595,9.779439408
240,2018,53,710,55,765,92.81045752,9.301263497,7.189542484,9.301263497
267,2019,55,1155,34,1189,97.14045416,8.984532124,2.859545837,8.984532124
149,2014,92,315,9,324,97.22222222,8.072131806,2.777777778,8.072131806
268,2019,56,1764,237,2001,88.15592204,7.972913564,11.84407796,7.972913564
242,2018,55,2264,72,2336,96.91780822,7.826177914,3.082191781,7.826177914
16,2009,54,61485,5896,67381,91.24975883,7.704944999,8.750241166,7.704944999
247,2018,72,483,69,552,87.5,7.636778116,12.5,7.636778116
243,2018,56,2246,275,2521,89.09163031,6.991626128,10.90836969,6.991626128
12,2009,49,50,5,55,90.90909091,6.865189666,9.090909091,6.865189666
50,2010,99,1636,166,1802,90.78801332,6.859045505,9.211986681,6.859045505
147,2014,72,649,72,721,90.01386963,6.295654184,9.986130374,6.295654184
49,2010,92,320,10,330,96.96969697,6.181683651,3.03030303,6.181683651
39,2010,52,7899,113,8012,98.58961558,5.942556753,1.410384423,5.942556753
192,2016,55,1586,18,1604,98.87780549,5.788374592,1.122194514,5.788374592
150,2014,99,1479,180,1659,89.15009042,5.740420533,10.84990958,5.740420533
216,2017,54,186431,12897,199328,93.52975999,5.630407973,6.470240006,5.630407973
224,2017,92,292,14,306,95.4248366,5.594328127,4.575163399,5.594328127
200,2016,99,595,55,650,91.53846154,5.58384062,8.461538462,5.58384062
237,2018,49,190,19,209,90.90909091,5.457700195,9.090909091,5.457700195
217,2017,55,1653,14,1667,99.16016797,5.427322587,0.839832034,5.427322587
17,2009,55,568,6,574,98.95470383,5.368316398,1.045296167,5.368316398
270,2019,62,6717,256,6973,96.3286964,5.364840979,3.6713036,5.364840979
121,2013,71,362,9,371,97.57412399,5.337281884,2.425876011,5.337281884
126,2014,11,213,16,229,93.01310044,5.314658761,6.986899563,5.314658761
87,2012,49,40,3,43,93.02325581,5.161182226,6.976744186,5.161182226
117,2013,55,1062,12,1074,98.88268156,5.140350276,1.117318436,5.140350276
11,2009,48,824,34,858,96.03729604,5.128205128,3.962703963,5.128205128
24,2009,92,412,8,420,98.0952381,5.127374201,1.904761905,5.127374201
175,2015,99,534,76,610,87.54098361,5.106075217,12.45901639,5.106075217
142,2014,55,1315,9,1324,99.32024169,5.048293084,0.679758308,5.048293084
14,2009,52,8815,152,8967,98.30489573,5.046468762,1.695104271,5.046468762
245,2018,62,7621,319,7940,95.98236776,5.040338773,4.017632242,5.040338773
228,2018,22,532,14,546,97.43589744,4.824432468,2.564102564,4.824432468
124,2013,92,365,13,378,96.56084656,4.822252233,3.439153439,4.822252233
100,2012,99,2128,170,2298,92.60226284,4.719165734,7.397737163,4.719165734
262,2019,49,155,14,169,91.71597633,4.570438436,8.284023669,4.570438436
74,2011,92,422,6,428,98.59813084,4.536731747,1.401869159,4.536731747
25,2009,99,2459,186,2645,92.96786389,4.532489744,7.032136106,4.532489744
72,2011,72,785,64,849,92.46171967,4.459297733,7.53828033,4.459297733
167,2015,55,1158,13,1171,98.88983775,4.277043133,1.110162254,4.277043133
164,2015,52,11760,127,11887,98.93160596,4.243384247,1.068394044,4.243384247
86,2012,48,655,19,674,97.1810089,4.157753088,2.818991098,4.157753088
42,2010,55,611,13,624,97.91666667,4.155027933,2.083333333,4.155027933
191,2016,54,164355,9099,173454,94.75422879,4.123576699,5.245771213,4.123576699
195,2016,62,8435,283,8718,96.75384262,4.115805815,3.246157376,4.115805815
202,2017,21,677,38,715,94.68531469,4.071346061,5.314685315,4.071346061
41,2010,54,52685,3421,56106,93.90261291,4.014053755,6.097387089,4.014053755
146,2014,71,374,24,398,93.96984925,3.955979621,6.030150754,3.955979621
118,2013,56,1528,102,1630,93.74233129,3.944734627,6.257668712,3.944734627
236,2018,48,1029,56,1085,94.83870968,3.929618768,5.161290323,3.929618768
143,2014,56,1761,107,1868,94.27194861,3.921883991,5.728051392,3.921883991
36,2010,48,592,24,616,96.1038961,3.896103896,3.896103896,3.896103896
23,2009,81,587,36,623,94.22150883,3.873729267,5.778491172,3.873729267
252,2019,21,332,33,365,90.95890411,3.872556565,9.04109589,3.872556565
112,2013,49,36,2,38,94.73684211,3.870196018,5.263157895,3.870196018
99,2012,92,272,10,282,96.45390071,3.851637872,3.546099291,3.851637872
18,2009,56,1430,98,1528,93.58638743,3.830649856,6.413612565,3.830649856
261,2019,48,684,32,716,95.53072626,3.814749926,4.469273743,3.814749926
97,2012,72,593,45,638,92.94670846,3.801259016,7.053291536,3.801259016
61,2011,48,791,31,822,96.22871046,3.771289538,3.771289538,3.771289538
137,2014,49,55,3,58,94.82758621,3.652189379,5.172413793,3.652189379
67,2011,55,783,12,795,98.49056604,3.602785489,1.509433962,3.602785489
189,2016,52,14394,296,14690,97.98502383,3.597268724,2.014976174,3.597268724
47,2010,72,629,60,689,91.29172714,3.584597948,8.708272859,3.584597948
199,2016,92,351,18,369,95.12195122,3.583489681,4.87804878,3.583489681
214,2017,52,13992,258,14250,98.18947368,3.580778032,1.810526316,3.580778032
139,2014,52,12113,181,12294,98.52773711,3.545038146,1.472262892,3.545038146
272,2019,72,388,50,438,88.58447489,3.543184689,11.41552511,3.543184689
193,2016,56,1832,136,1968,93.08943089,3.444554601,6.910569106,3.444554601
246,2018,71,251,25,276,90.94202899,3.442028986,9.057971014,3.442028986
96,2012,71,292,11,303,96.36963696,3.4229285,3.630363036,3.4229285
211,2017,48,743,26,769,96.6189857,3.381014304,3.381014304,3.381014304
92,2012,55,778,8,786,98.9821883,3.32664136,1.017811705,3.32664136
68,2011,56,1522,82,1604,94.88778055,3.31674298,5.112219451,3.31674298
222,2017,72,535,41,576,92.88194444,3.296399505,7.118055556,3.296399505
218,2017,56,2049,137,2186,93.73284538,3.28054288,6.26715462,3.28054288
89,2012,52,8036,109,8145,98.66175568,3.265336241,1.338244322,3.265336241
71,2011,71,403,18,421,95.72446556,3.262745888,4.275534442,3.262745888
43,2010,56,1007,67,1074,93.76163873,3.242217689,6.238361266,3.242217689
111,2013,48,817,17,834,97.9616307,3.22478859,2.038369305,3.22478859
