"","Fiscal.Year","naics","totaliniaccpt","totaliniden","totalinitial","iaccptperc","idenperc"
"1",2009,"11",198,25,223,88.7892376681614,11.2107623318386
"2",2009,"21",768,12,780,98.4615384615385,1.53846153846154
"3",2009,"22",436,6,442,98.6425339366516,1.35746606334842
"4",2009,"23",417,17,434,96.0829493087558,3.91705069124424
"5",2009,"31",793,63,856,92.6401869158879,7.35981308411215
"6",2009,"32",1745,61,1806,96.6223698781838,3.37763012181617
"7",2009,"33",8596,198,8794,97.7484648624062,2.25153513759381
"8",2009,"42",757,71,828,91.4251207729469,8.57487922705314
"9",2009,"44",1279,165,1444,88.5734072022161,11.4265927977839
"10",2009,"45",549,32,581,94.4922547332186,5.50774526678141
"11",2009,"48",577,52,629,91.7329093799682,8.2670906200318
"12",2009,"49",42,6,48,87.5,12.5
"13",2009,"51",2579,193,2772,93.037518037518,6.96248196248196
"14",2009,"52",4784,143,4927,97.0976253298153,2.9023746701847
"15",2009,"53",353,62,415,85.0602409638554,14.9397590361446
"16",2009,"54",45070,13649,58719,76.7553943357346,23.2446056642654
"17",2009,"55",257,20,277,92.7797833935018,7.22021660649819
"18",2009,"56",1492,375,1867,79.9143010176754,20.0856989823246
"19",2009,"61",15752,667,16419,95.9376332297948,4.06236677020525
"20",2009,"62",8425,1288,9713,86.739421394008,13.260578605992
"21",2009,"71",541,75,616,87.8246753246753,12.1753246753247
"22",2009,"72",820,231,1051,78.0209324452902,21.9790675547098
"23",2009,"81",813,146,959,84.7758081334724,15.2241918665276
"24",2009,"92",345,31,376,91.7553191489362,8.24468085106383
"25",2009,"99",2402,511,2913,82.4579471335393,17.5420528664607
"26",2010,"11",124,21,145,85.5172413793103,14.4827586206897
"27",2010,"21",486,9,495,98.1818181818182,1.81818181818182
"28",2010,"22",299,10,309,96.7637540453075,3.23624595469256
"29",2010,"23",258,12,270,95.5555555555556,4.44444444444444
"30",2010,"31",683,94,777,87.9021879021879,12.0978120978121
"31",2010,"32",1261,62,1323,95.3136810279668,4.68631897203326
"32",2010,"33",6770,232,7002,96.6866609540131,3.31333904598686
"33",2010,"42",594,70,664,89.4578313253012,10.5421686746988
"34",2010,"44",910,197,1107,82.2041553748871,17.7958446251129
"35",2010,"45",608,46,654,92.9663608562691,7.03363914373089
"36",2010,"48",400,67,467,85.6531049250535,14.3468950749465
"37",2010,"49",37,5,42,88.0952380952381,11.9047619047619
"38",2010,"51",4101,143,4244,96.6305372290292,3.36946277097078
"39",2010,"52",4341,145,4486,96.7677218011592,3.23227819884084
"40",2010,"53",287,73,360,79.7222222222222,20.2777777777778
"41",2010,"54",38848,3179,42027,92.4358150712637,7.56418492873629
"42",2010,"55",289,15,304,95.0657894736842,4.93421052631579
"43",2010,"56",908,306,1214,74.7940691927512,25.2059308072488
"44",2010,"61",12168,615,12783,95.1889227880779,4.81107721192208
"45",2010,"62",6875,1036,7911,86.9043104537985,13.0956895462015
"46",2010,"71",528,92,620,85.1612903225806,14.8387096774194
"47",2010,"72",634,239,873,72.62313860252,27.37686139748
"48",2010,"81",733,188,921,79.5874049945711,20.4125950054289
"49",2010,"92",227,18,245,92.6530612244898,7.34693877551021
"50",2010,"99",1669,478,2147,77.7363763390778,22.2636236609222
"51",2011,"11",170,22,192,88.5416666666667,11.4583333333333
"52",2011,"21",644,11,655,98.3206106870229,1.6793893129771
"53",2011,"22",287,10,297,96.6329966329966,3.36700336700337
"54",2011,"23",348,15,363,95.8677685950413,4.13223140495868
"55",2011,"31",863,122,985,87.6142131979695,12.3857868020305
"56",2011,"32",1703,74,1777,95.8356781091728,4.16432189082724
"57",2011,"33",9925,273,10198,97.3230045106884,2.67699548931163
"58",2011,"42",836,117,953,87.7229800629591,12.2770199370409
"59",2011,"44",931,252,1183,78.698224852071,21.301775147929
"60",2011,"45",963,59,1022,94.2270058708415,5.77299412915851
"61",2011,"48",422,81,503,83.89662027833,16.10337972167
"62",2011,"49",52,7,59,88.135593220339,11.864406779661
"63",2011,"51",4945,162,5107,96.8278832974349,3.17211670256511
"64",2011,"52",5158,147,5305,97.2290292177191,2.77097078228087
"65",2011,"53",335,106,441,75.9637188208617,24.0362811791383
"66",2011,"54",60742,4285,65027,93.4104295138942,6.58957048610577
"67",2011,"55",344,15,359,95.8217270194986,4.17827298050139
"68",2011,"56",1256,218,1474,85.2103120759837,14.7896879240163
"69",2011,"61",12999,402,13401,97.0002238638908,2.99977613610925
"70",2011,"62",7068,1065,8133,86.9052010328292,13.0947989671708
"71",2011,"71",1047,106,1153,90.8065915004337,9.19340849956635
"72",2011,"72",698,299,997,70.0100300902708,29.9899699097292
"73",2011,"81",861,171,1032,83.4302325581395,16.5697674418605
"74",2011,"92",299,32,331,90.3323262839879,9.66767371601208
"75",2011,"99",1967,532,2499,78.7114845938375,21.2885154061625
"76",2012,"11",140,15,155,90.3225806451613,9.67741935483871
"77",2012,"21",893,20,913,97.8094194961665,2.19058050383352
"78",2012,"22",306,4,310,98.7096774193548,1.29032258064516
"79",2012,"23",329,15,344,95.6395348837209,4.36046511627907
"80",2012,"31",721,77,798,90.3508771929825,9.64912280701754
"81",2012,"32",1780,74,1854,96.0086299892125,3.99137001078749
"82",2012,"33",10410,249,10659,97.6639459611596,2.33605403884042
"83",2012,"42",883,83,966,91.407867494824,8.59213250517598
"84",2012,"44",770,127,897,85.8416945373467,14.1583054626533
"85",2012,"45",1350,51,1401,96.3597430406852,3.64025695931478
"86",2012,"48",435,64,499,87.1743486973948,12.8256513026052
"87",2012,"49",35,4,39,89.7435897435898,10.2564102564103
"88",2012,"51",5494,130,5624,97.6884779516358,2.31152204836415
"89",2012,"52",4717,126,4843,97.3983068346067,2.60169316539335
"90",2012,"53",307,54,361,85.0415512465374,14.9584487534626
"91",2012,"54",89199,4273,93472,95.4285775419377,4.57142245806231
"92",2012,"55",333,24,357,93.2773109243697,6.72268907563025
"93",2012,"56",1087,130,1217,89.3179950698439,10.6820049301561
"94",2012,"61",11235,357,11592,96.9202898550725,3.07971014492754
"95",2012,"62",5654,536,6190,91.3408723747981,8.65912762520194
"96",2012,"71",401,65,466,86.0515021459227,13.9484978540773
"97",2012,"72",368,157,525,70.0952380952381,29.9047619047619
"98",2012,"81",703,109,812,86.576354679803,13.423645320197
"99",2012,"92",231,10,241,95.850622406639,4.149377593361
"100",2012,"99",3028,647,3675,82.3945578231293,17.6054421768707
"101",2013,"11",125,16,141,88.6524822695035,11.3475177304965
"102",2013,"21",673,10,683,98.5358711566618,1.46412884333821
"103",2013,"22",244,7,251,97.2111553784861,2.78884462151394
"104",2013,"23",350,18,368,95.1086956521739,4.89130434782609
"105",2013,"31",538,81,619,86.9143780290792,13.0856219709208
"106",2013,"32",1477,59,1536,96.1588541666667,3.84114583333333
"107",2013,"33",8821,233,9054,97.4265518003093,2.57344819969074
"108",2013,"42",900,106,1006,89.4632206759443,10.5367793240557
"109",2013,"44",645,131,776,83.1185567010309,16.8814432989691
